dataset,features_percent,fs_func,pipeline_ops,depth,fold,stage,rmse,mae,r2
Gd_ctopo_fp_cmplx,all,f_regression,['rfr'],1,0,cv,4.088284296973012,3.04121982594485,0.13845542472076366
Gd_ctopo_fp_cmplx,all,f_regression,['rfr'],1,1,cv,3.9576698548197644,3.2059168645504936,0.0875312474075699
Gd_ctopo_fp_cmplx,all,f_regression,"['normalization', 'ridge']",2,2,cv,3.920190167859816,3.112682977597862,0.33518520470307145
Gd_ctopo_fp_cmplx,all,f_regression,"['isolation_forest_reg', 'normalization', 'ransac_non_lin_reg', 'rfr']",3,3,cv,3.631237303428919,3.081655926146874,0.3564798532534945
Gd_ctopo_fp_cmplx,all,f_regression,['rfr'],1,4,cv,4.486644056356961,3.7047558930912077,0.15931851326551194
Gd_ctopo_fp_cmplx,all,f_regression,"['isolation_forest_reg', 'rfr']",2,,train_test,4.275638455996772,3.1734219299844586,0.05768192017649809
Gd_ctopo_fp_cmplx,50,f_regression,['rfr'],1,0,cv,4.139918169320813,3.171487863608661,0.11655587219359842
Gd_ctopo_fp_cmplx,50,f_regression,['catboostreg'],1,1,cv,3.5832100621389302,2.9030683696727864,0.2520313195225252
Gd_ctopo_fp_cmplx,50,f_regression,"['svr', 'lasso']",2,2,cv,4.205989759345928,3.039173515877747,0.23471565781826176
Gd_ctopo_fp_cmplx,50,f_regression,"['ransac_lin_reg', 'ridge']",2,3,cv,3.755415491441611,3.0106893234587857,0.3117141007141033
Gd_ctopo_fp_cmplx,50,f_regression,['rfr'],1,4,cv,4.7536227062749585,3.90136405362091,0.05629193117467379
Gd_ctopo_fp_cmplx,50,f_regression,['rfr'],1,,train_test,4.2957814472979505,3.306586094710188,0.048782282804914034
Gd_ctopo_fp_cmplx,75,f_regression,['rfr'],1,0,cv,3.8887542947566214,2.96748469568041,0.22049916954467386
Gd_ctopo_fp_cmplx,75,f_regression,"['ransac_lin_reg', 'rfr']",2,1,cv,3.900387682937264,3.214312423175532,0.11375371489999553
Gd_ctopo_fp_cmplx,75,f_regression,"['scaling', 'ridge']",2,2,cv,3.9512543660687918,3.0578004843543183,0.32460726726818756
Gd_ctopo_fp_cmplx,75,f_regression,['ridge'],1,3,cv,3.5647328035645303,2.933408560457842,0.3798355736701504
Gd_ctopo_fp_cmplx,75,f_regression,['rfr'],1,4,cv,4.647892021068822,3.814832091809463,0.09780521874575565
Gd_ctopo_fp_cmplx,75,f_regression,['catboostreg'],1,,train_test,4.08890184390968,3.111958758993254,0.13819512756038588
Gd_ctopo_fp_cmplx_da,all,f_regression,['rfr'],1,0,cv,3.7003677733191638,2.9772613182957897,0.2941939857353958
Gd_ctopo_fp_cmplx_da,all,f_regression,['ridge'],1,1,cv,3.9715359615849963,3.2166561636082984,0.0811261888316569
Gd_ctopo_fp_cmplx_da,all,f_regression,"['pca', 'fast_ica', 'rfr']",3,2,cv,3.8729702273879774,2.9384932040877776,0.3511045592731953
Gd_ctopo_fp_cmplx_da,all,f_regression,"['resample', 'rfr']",2,3,cv,3.600159549688086,3.0628587032911194,0.36744778407203194
Gd_ctopo_fp_cmplx_da,all,f_regression,"['pca', 'rfr']",2,4,cv,4.980019796321115,4.017517605888224,0.0
Gd_ctopo_fp_cmplx_da,all,f_regression,['catboostreg'],1,,train_test,3.6635227606901477,2.8913759689326897,0.30817960201455097
Gd_ctopo_fp_cmplx_da,50,f_regression,['ridge'],1,0,cv,4.023990086351669,3.1606759252564847,0.16534042682321648
Gd_ctopo_fp_cmplx_da,50,f_regression,['rfr'],1,1,cv,4.063548302246282,3.2642339910201614,0.03805613749915715
