dataset,features_percent,fs_func,pipeline_ops,depth,fold,stage,rmse,mae,r2,baseline_rmse,baseline_mae,baseline_r2
Gd_ctopo_fp_cmplx,all,f_regression,"['isolation_forest_reg', 'rfr']",2,,train_test,4.275638455996772,3.1734219299844586,0.057681920176498,3.5733529544546303,2.8586445585289186,0.34181587165789973
Gd_ctopo_fp_cmplx,50,f_regression,['rfr'],1,,train_test,4.295781447297951,3.306586094710188,0.048782282804914,3.5733529544546303,2.8586445585289186,0.34181587165789973
Gd_ctopo_fp_cmplx,75,f_regression,['catboostreg'],1,,train_test,4.08890184390968,3.111958758993254,0.1381951275603858,3.5733529544546303,2.8586445585289186,0.34181587165789973
Gd_ctopo_fp_cmplx_da,all,f_regression,['catboostreg'],1,,train_test,3.663522760690148,2.8913759689326897,0.3081796020145509,3.4001281579730773,2.66344021083991,0.40408248760571286
Gd_ctopo_fp_cmplx_da,50,f_regression,['catboostreg'],1,,train_test,3.8214548385200167,2.998428787822799,0.247246059324938,3.4001281579730773,2.66344021083991,0.40408248760571286
Gd_ctopo_fp_cmplx_da,75,f_regression,"['isolation_forest_reg', 'catboostreg']",2,,train_test,3.723480229180975,2.955735970548247,0.2853495375711978,3.4001281579730773,2.66344021083991,0.40408248760571286
Gd_ctopo_fp_cmplx_da_bonds,all,f_regression,"['ransac_lin_reg', 'rfr']",2,,train_test,3.68815089196502,2.753583096926089,0.298846774173925,3.4360365436111935,2.7109840529457787,0.39142918271418414
Gd_ctopo_fp_cmplx_da_bonds,50,f_regression,"['poly_features', 'catboostreg']",2,,train_test,3.844284819284374,3.0227653958331957,0.2382250488725413,3.4360365436111935,2.7109840529457787,0.39142918271418414
Gd_ctopo_fp_cmplx_da_bonds,75,f_regression,['catboostreg'],1,,train_test,3.8552527637840432,3.011601413443108,0.2338720809975782,3.4360365436111935,2.7109840529457787,0.39142918271418414
Gd_ctopo_fp_cmplx_da_sub,all,f_regression,['ridge'],1,,train_test,3.626170899889297,2.924004608747252,0.3222147532010463,3.551853969324794,2.7434683084956757,0.3497119421213851
Gd_ctopo_fp_cmplx_da_sub,50,f_regression,['catboostreg'],1,,train_test,4.23652895572217,3.3033846548623216,0.0748419484037685,3.551853969324794,2.7434683084956757,0.3497119421213851
Gd_ctopo_fp_cmplx_da_sub,75,f_regression,['ridge'],1,,train_test,3.691936548842436,3.011346254825794,0.2974066553398143,3.551853969324794,2.7434683084956757,0.3497119421213851
Gd_ctopo_fp_cmplx_da_sub_bonds,all,f_regression,['sgdr'],1,,train_test,3.5113123132678488,2.859680276740976,0.3644722864983812,3.4386463736735866,2.5270538693081153,0.39050435576598264
Gd_ctopo_fp_cmplx_da_sub_bonds,50,f_regression,['svr'],1,,train_test,4.235076973165262,3.401237152619883,0.0754759972540997,3.4386463736735866,2.5270538693081153,0.39050435576598264
Gd_ctopo_fp_cmplx_da_sub_bonds,75,f_regression,"['ransac_non_lin_reg', 'isolation_forest_reg', 'svr']",3,,train_test,3.5124175597149447,2.8487279579095306,0.3640721367917682,3.4386463736735866,2.5270538693081153,0.39050435576598264
Gd_ctopo_fp_cmplx_full,all,f_regression,"['resample', 'poly_features', 'rfr']",3,,train_test,3.66480516746164,2.8851417610196326,0.3076951773221464,3.3062721581724848,2.583994437842876,0.43652743607319766
Gd_ctopo_fp_cmplx_full,50,f_regression,['ridge'],1,,train_test,4.005028792056244,3.1421629460108536,0.173187831205012,3.3062721581724848,2.583994437842876,0.43652743607319766
Gd_ctopo_fp_cmplx_full,75,f_regression,['ridge'],1,,train_test,3.783024702686938,3.0044037379070714,0.2623099442720065,3.3062721581724848,2.583994437842876,0.43652743607319766
Gd_ctopo_fp_ligand,all,f_regression,['catboostreg'],1,,train_test,3.8188251753692746,2.902010657077829,0.2482816901559138,4.072519031813262,3.1506637205694203,0.145087199458394
Gd_ctopo_fp_ligand,50,f_regression,"['resample', 'ransac_non_lin_reg', 'isolation_forest_reg', 'catboostreg']",4,,train_test,4.160031778190865,3.2682939489721075,0.1079506706062745,4.072519031813262,3.1506637205694203,0.145087199458394
Gd_ctopo_fp_ligand,75,f_regression,"['ransac_non_lin_reg', 'isolation_forest_reg', 'fast_ica', 'catboostreg']",3,,train_test,3.992033360555441,3.091363419015966,0.1785447708143369,4.072519031813262,3.1506637205694203,0.145087199458394
Gd_ctopo_fp_skl,all,f_regression,['ridge'],1,,train_test,3.7516454210575594,3.0088207095582717,0.274497112747631,3.7902655977666186,3.0593832786135495,0.25948329168765605
Gd_ctopo_fp_skl,50,f_regression,"['resample', 'ransac_non_lin_reg', 'ransac_lin_reg', 'poly_features', 'ridge']",5,,train_test,4.121168687914002,3.4039572134956,0.1245398996745145,3.7902655977666186,3.0593832786135495,0.25948329168765605
Gd_ctopo_fp_skl,75,f_regression,"['resample', 'normalization', 'ransac_lin_reg', 'sgdr']",5,,train_test,3.819829592539623,3.132102515910581,0.2478862082801358,3.7902655977666186,3.0593832786135495,0.25948329168765605
Gd_ctopo_fp_skl_da,all,f_regression,"['poly_features', 'ransac_lin_reg', 'ridge']",3,,train_test,3.860890148340593,2.9990505228718045,0.2316298853830366,3.936720223125879,3.1642072308839175,0.20115103446174742
Gd_ctopo_fp_skl_da,50,f_regression,"['pca', 'scaling', 'poly_features', 'rfr']",4,,train_test,3.918055893854623,3.035795546762324,0.2087079013653912,3.936720223125879,3.1642072308839175,0.20115103446174742
Gd_ctopo_fp_skl_da,75,f_regression,"['resample', 'poly_features', 'ridge']",3,,train_test,3.901857840882865,3.1033616277315077,0.2152371070754221,3.936720223125879,3.1642072308839175,0.20115103446174742
Gd_ctopo_fp_skl_da_bonds,all,f_regression,['svr'],1,,train_test,4.033031542679939,3.381607707428158,0.1615854393446878,3.708800374545052,2.6502605834598616,0.2909734613721978
Gd_ctopo_fp_skl_da_bonds,50,f_regression,"['pca', 'rfr']",2,,train_test,4.061603015486095,3.0878302408398657,0.1496640890462675,3.708800374545052,2.6502605834598616,0.2909734613721978
Gd_ctopo_fp_skl_da_bonds,75,f_regression,"['resample', 'poly_features', 'normalization', 'ridge']",4,,train_test,3.897527148528496,3.082761953442713,0.2169781651843907,3.708800374545052,2.6502605834598616,0.2909734613721978
Gd_ctopo_fp_skl_da_skl,all,f_regression,['ridge'],1,,train_test,3.8222464280378015,3.0371281103002654,0.2469341708585762,3.9780933323110377,3.2018941409631965,0.18427173481779058
Gd_ctopo_fp_skl_da_skl,50,f_regression,['ridge'],1,,train_test,3.8146710337201553,2.9679991875442435,0.2499162482860707,3.9780933323110377,3.2018941409631965,0.18427173481779058
Gd_ctopo_fp_skl_da_skl,75,f_regression,['ridge'],1,,train_test,3.801672379640442,3.059275149029895,0.2550194234894479,3.9780933323110377,3.2018941409631965,0.18427173481779058
Gd_ctopo_fp_skl_da_skl_bonds,all,f_regression,['ridge'],1,,train_test,3.837490411478056,3.042731226724852,0.2409153988554465,3.8957141211298594,2.965709837514011,0.2177064781872302
Gd_ctopo_fp_skl_da_skl_bonds,50,f_regression,"['resample', 'svr']",2,,train_test,3.8490930502473057,3.150880937711412,0.2363182804137075,3.8957141211298594,2.965709837514011,0.2177064781872302
Gd_ctopo_fp_skl_da_skl_bonds,75,f_regression,"['ridge', 'lasso']",2,,train_test,3.839972222788689,3.095998440580958,0.239933239301434,3.8957141211298594,2.965709837514011,0.2177064781872302
Gd_ctopo_fp_topo,all,f_regression,['svr'],1,,train_test,3.9910847028653222,3.3849429525692005,0.178935141914346,4.223078973495712,3.4889100738033134,0.08070694170936787
Gd_ctopo_fp_topo,50,f_regression,"['normalization', 'ridge', 'ransac_non_lin_reg', 'catboostreg']",5,,train_test,4.7580349440318335,3.7200631187748767,0.0,4.223078973495712,3.4889100738033134,0.08070694170936787
Gd_ctopo_fp_topo,75,f_regression,"['resample', 'normalization', 'ridge']",3,,train_test,4.295107694991498,3.6084588919589256,0.0490806382405447,4.223078973495712,3.4889100738033134,0.08070694170936787
Gd_ctopo_fp_topo_da,all,f_regression,"['resample', 'poly_features', 'isolation_forest_reg', 'sgdr']",4,,train_test,4.277374351667681,3.4721948938490623,0.0569166085393683,3.9861550363187725,3.176375326027254,0.18096219798716318
Gd_ctopo_fp_topo_da,50,f_regression,['svr'],1,,train_test,3.948178014349159,3.0675784979568217,0.1964941810017901,3.9861550363187725,3.176375326027254,0.18096219798716318
Gd_ctopo_fp_topo_da,75,f_regression,"['scaling', 'normalization', 'catboostreg', 'rfr']",4,,train_test,4.529373334328809,3.404917685300775,0.0,3.9861550363187725,3.176375326027254,0.18096219798716318
