dataset,features_percent,fs_func,pipeline_ops,depth,fold,stage,rmse,mae,r2
Gd_ctopo_fp_cmplx,all,none,"['resample', 'poly_features', 'catboostreg']",4,,train_test,4.085585543546051,3.0424992691617065,0.13959249288248232
Gd_ctopo_fp_cmplx_da,all,none,"['isolation_forest_reg', 'catboostreg']",2,,train_test,3.6635227606901477,2.8913759689326897,0.30817960201455097
Gd_ctopo_fp_cmplx_da_bonds,all,none,"['isolation_forest_reg', 'catboostreg']",2,,train_test,3.5973550144909625,2.8287722907593373,0.33294418634877265
Gd_ctopo_fp_cmplx_da_sub,all,none,"['resample', 'isolation_forest_reg', 'ridge']",3,,train_test,3.6273880564360916,2.9244006283600283,0.3217596675320967
Gd_ctopo_fp_cmplx_da_sub_bonds,all,none,"['resample', 'isolation_forest_reg', 'ransac_lin_reg', 'adareg', 'catboostreg']",5,,train_test,3.978154244633849,3.0369472985251154,0.1842467538635123
Gd_ctopo_fp_cmplx_full,all,none,"['isolation_forest_reg', 'catboostreg']",2,,train_test,3.706151698475429,2.9596559732058654,0.29198581622904096
Gd_ctopo_fp_ligand,all,none,"['scaling', 'poly_features', 'lgbmreg']",4,,train_test,3.828551797438482,3.06542361378729,0.24444753118728335
Gd_ctopo_fp_skl,all,none,"['resample', 'scaling', 'ransac_lin_reg', 'svr']",5,,train_test,3.703555806059119,2.9563520470996214,0.2929772947930208
Gd_ctopo_fp_skl_da,all,none,"['ridge', 'knnreg', 'catboostreg']",3,,train_test,3.953906126737126,3.0353624688214182,0.1941609982627509
Gd_ctopo_fp_skl_da_bonds,all,none,"['resample', 'ransac_non_lin_reg', 'ridge']",3,,train_test,3.915060713659737,3.130433392309362,0.2099172544642286
Gd_ctopo_fp_skl_da_skl,all,none,"['resample', 'ridge', 'normalization', 'sgdr']",4,,train_test,3.808629310413757,3.0544620048869433,0.25229035063205185
Gd_ctopo_fp_skl_da_skl_bonds,all,none,"['resample', 'isolation_forest_reg', 'ridge', 'pca', 'lasso']",4,,train_test,3.791404641861571,3.0320787849634327,0.25903814719695306
Gd_ctopo_fp_topo,all,none,['ridge'],1,,train_test,4.263308500046637,3.574706377523954,0.06310894009400647
Gd_ctopo_fp_topo_da,all,none,"['resample', 'ransac_non_lin_reg', 'sgdr']",3,,train_test,4.031231380493766,3.218736897213354,0.16233373269917073
