dataset,features_percent,fs_func,pipeline_ops,depth,fold,stage,rmse,mae,r2,baseline_rmse,baseline_mae,baseline_r2
Gd_ctopo_fp_cmplx,all,none,"['scaling', 'ransac_non_lin_reg', 'rfr']",2,,train_test,3.654999151784962,2.75772269720338,0.3113950572411417,3.5733529544546303,2.8586445585289186,0.34181587165789973
Gd_ctopo_fp_cmplx_da,all,none,"['resample', 'isolation_forest_reg', 'ridge', 'sgdr']",4,,train_test,3.790054136307362,3.0104334509128763,0.259565917230143,3.4001281579730773,2.66344021083991,0.40408248760571286
Gd_ctopo_fp_cmplx_da_bonds,all,none,['rfr'],1,,train_test,3.7147640610013775,2.768918826421618,0.28869142343828225,3.4360365436111935,2.7109840529457787,0.39142918271418414
Gd_ctopo_fp_cmplx_da_sub,all,none,"['isolation_forest_reg', 'ridge']",2,,train_test,3.616687331441324,2.929547460084663,0.3257553570926359,3.551853969324794,2.7434683084956757,0.3497119421213851
Gd_ctopo_fp_cmplx_da_sub_bonds,all,none,"['ransac_lin_reg', 'isolation_forest_reg', 'ridge']",3,,train_test,3.577282365100907,2.9098003514524873,0.34036754133990255,3.4386463736735866,2.5270538693081153,0.39050435576598264
Gd_ctopo_fp_cmplx_full,all,none,"['resample', 'poly_features', 'rfr']",3,,train_test,3.687651285502456,2.9208284575325085,0.2990367213679592,3.3062721581724848,2.583994437842876,0.43652743607319766
Gd_ctopo_fp_ligand,all,none,['lgbmreg'],1,,train_test,3.9013705956643894,3.068727425943538,0.21543308966034524,4.072519031813262,3.1506637205694203,0.145087199458394
Gd_ctopo_fp_skl,all,none,"['resample', 'ransac_lin_reg', 'dtreg']",3,,train_test,3.859938255507875,3.024633376061658,0.23200871814632062,3.7902655977666186,3.0593832786135495,0.25948329168765605
Gd_ctopo_fp_skl_da,all,none,"['ransac_lin_reg', 'poly_features', 'ridge']",3,,train_test,3.960454865670154,3.0416569802011564,0.19148941257747376,3.936720223125879,3.1642072308839175,0.20115103446174742
Gd_ctopo_fp_skl_da_bonds,all,none,"['resample', 'poly_features', 'ridge']",3,,train_test,3.893903406404613,3.123685477261358,0.21843352394097937,3.708800374545052,2.6502605834598616,0.2909734613721978
Gd_ctopo_fp_skl_da_skl,all,none,"['ransac_lin_reg', 'adareg', 'ridge']",3,,train_test,3.9417739012353095,3.073737840155019,0.19909870836970822,3.9780933323110377,3.2018941409631965,0.18427173481779058
Gd_ctopo_fp_skl_da_skl_bonds,all,none,"['ridge', 'adareg']",2,,train_test,4.1068860335718815,3.1515210458570793,0.1305975147333115,3.8957141211298594,2.965709837514011,0.2177064781872302
Gd_ctopo_fp_topo,all,none,"['resample', 'isolation_forest_reg', 'sgdr']",3,,train_test,4.102172889991985,3.4190333752750863,0.1325918566527986,4.223078973495712,3.4889100738033134,0.08070694170936787
Gd_ctopo_fp_topo_da,all,none,"['poly_features', 'isolation_forest_reg', 'sgdr']",3,,train_test,3.992396925258368,3.189369517305221,0.17839513993758882,3.9861550363187725,3.176375326027254,0.18096219798716318
