dataset,features_percent,fs_func,pipeline_ops,depth,fold,stage,rmse,mae,r2,baseline_rmse,baseline_mae,baseline_r2
Gd_ctopo_fp_cmplx_da,all,none,"['isolation_forest_reg', 'catboostreg']",2,,train_test,3.6635227606901477,2.8913759689326897,0.30817960201455097,3.4001281579730773,2.66344021083991,0.40408248760571286
Gd_ctopo_fp_cmplx_da_bonds,all,none,"['poly_features', 'catboostreg']",2,,train_test,3.5890915963902876,2.8363342950601353,0.33600522987688586,3.4360365436111935,2.7109840529457787,0.39142918271418414
Gd_ctopo_fp_cmplx_da_sub,all,none,['ridge'],1,,train_test,3.6308407269030374,2.9254998774781593,0.3204679089428647,3.551853969324794,2.7434683084956757,0.3497119421213851
Gd_ctopo_fp_cmplx_da_sub_bonds,all,none,"['isolation_forest_reg', 'catboostreg']",2,,train_test,3.9735355108771024,3.0638270399019762,0.18613987293361256,3.4386463736735866,2.5270538693081153,0.39050435576598264
Gd_ctopo_fp_cmplx_full,all,none,"['isolation_forest_reg', 'catboostreg', 'ransac_non_lin_reg', 'xgboostreg']",3,,train_test,3.656834552091355,2.7946363145654853,0.3107033016467594,3.3062721581724848,2.583994437842876,0.43652743607319766
Gd_ctopo_fp_ligand,all,none,"['isolation_forest_reg', 'scaling', 'ransac_non_lin_reg', 'svr', 'normalization', 'catboostreg']",6,,train_test,3.6701375790452904,2.891006524876099,0.3056790592334645,4.072519031813262,3.1506637205694203,0.145087199458394
Gd_ctopo_fp_skl,all,none,"['dtreg', 'xgboostreg']",2,,train_test,3.858259820916433,3.0754159797321665,0.2326764712512519,3.7902655977666186,3.0593832786135495,0.25948329168765605
Gd_ctopo_fp_skl_da,all,none,"['ransac_lin_reg', 'ridge']",2,,train_test,3.888381470783983,3.0096970252134216,0.22064862751666792,3.936720223125879,3.1642072308839175,0.20115103446174742
Gd_ctopo_fp_skl_da_bonds,all,none,"['resample', 'ridge', 'normalization', 'scaling', 'sgdr']",6,,train_test,4.325976294446709,3.423850992368867,0.03536315695625247,3.708800374545052,2.6502605834598616,0.2909734613721978
Gd_ctopo_fp_skl_da_skl,all,none,"['resample', 'ridge', 'normalization', 'isolation_forest_reg', 'ransac_lin_reg', 'lasso']",6,,train_test,3.782568650047074,3.0482800248579878,0.26248779413834755,3.9780933323110377,3.2018941409631965,0.18427173481779058
Gd_ctopo_fp_skl_da_skl_bonds,all,none,"['poly_features', 'knnreg', 'rfr', 'ridge']",4,,train_test,3.6902855853295504,2.7443382183786666,0.29803488749169904,3.8957141211298594,2.965709837514011,0.2177064781872302
Gd_ctopo_fp_topo,all,none,['ridge'],1,,train_test,4.24576547387871,3.5616229074061194,0.07080347519427,4.223078973495712,3.4889100738033134,0.08070694170936787
Gd_ctopo_fp_topo_da,all,none,"['resample', 'poly_features', 'ransac_lin_reg', 'sgdr', 'scaling', 'xgboostreg']",6,,train_test,4.1718603286418965,3.3588223327289923,0.10287058841649899,3.9861550363187725,3.176375326027254,0.18096219798716318
